gene_id,mod_num,mod_color
ENSG00000226137,2,blue
ENSG00000226266,2,blue
ENSG00000226471,2,blue
ENSG00000226479,2,blue
ENSG00000226501,2,blue
ENSG00000226660,2,blue
ENSG00000226950,2,blue
ENSG00000227051,7,black
ENSG00000227191,8,pink
ENSG00000227268,3,brown
ENSG00000227507,7,black
ENSG00000227598,2,blue
ENSG00000227678,8,pink
ENSG00000227825,2,blue
ENSG00000228079,3,brown
ENSG00000228106,2,blue
ENSG00000228140,8,pink
ENSG00000228242,2,blue
ENSG00000228446,3,brown
ENSG00000228486,3,brown
ENSG00000228506,2,blue
ENSG00000228649,2,blue
ENSG00000228784,7,black
ENSG00000228794,3,brown
ENSG00000228939,3,brown
ENSG00000228956,7,black
ENSG00000229153,7,black
ENSG00000229320,3,brown
ENSG00000229325,3,brown
ENSG00000229474,8,pink
ENSG00000229808,2,blue
ENSG00000229899,2,blue
ENSG00000229955,2,blue
ENSG00000230155,3,brown
ENSG00000230257,2,blue
ENSG00000230673,2,blue
ENSG00000230747,8,pink
ENSG00000230789,2,blue
ENSG00000230839,2,blue
ENSG00000231047,2,blue
ENSG00000231160,7,black
ENSG00000231607,3,brown
ENSG00000231682,7,black
ENSG00000231999,2,blue
ENSG00000232021,7,black
ENSG00000232022,8,pink
ENSG00000232104,2,blue
ENSG00000232528,2,blue
ENSG00000232587,2,blue
ENSG00000232855,8,pink
ENSG00000232912,2,blue
ENSG00000232931,3,brown
ENSG00000233006,7,black
ENSG00000233016,2,blue
ENSG00000233093,2,blue
ENSG00000233184,2,blue
ENSG00000233306,8,pink
ENSG00000233355,7,black
ENSG00000233369,2,blue
ENSG00000233382,3,brown
ENSG00000233429,2,blue
ENSG00000233452,2,blue
ENSG00000233609,3,brown
ENSG00000233791,2,blue
ENSG00000234383,2,blue
ENSG00000234506,3,brown
ENSG00000234614,8,pink
ENSG00000235162,8,pink
ENSG00000235173,3,brown
ENSG00000235192,7,black
ENSG00000235194,3,brown
ENSG00000235290,2,blue
ENSG00000235453,3,brown
ENSG00000235531,8,pink
ENSG00000235532,7,black
ENSG00000235576,8,pink
ENSG00000235655,2,blue
ENSG00000235750,2,blue
ENSG00000235834,2,blue
ENSG00000235944,7,black
ENSG00000236144,3,brown
ENSG00000236194,2,blue
ENSG00000236213,8,pink
ENSG00000236255,3,brown
ENSG00000236345,2,blue
ENSG00000236438,2,blue
ENSG00000236525,2,blue
ENSG00000236609,2,blue
ENSG00000236790,8,pink
ENSG00000236946,2,blue
ENSG00000237036,3,brown
ENSG00000237248,8,pink
ENSG00000237298,2,blue
ENSG00000237489,2,blue
ENSG00000237499,3,brown
ENSG00000237753,2,blue
ENSG00000237757,3,brown
ENSG00000237803,2,blue
ENSG00000237827,2,blue
ENSG00000237892,2,blue
ENSG00000237943,7,black
ENSG00000237945,3,brown
ENSG00000237984,2,blue
ENSG00000238005,2,blue
ENSG00000238113,2,blue
ENSG00000238121,3,brown
ENSG00000238160,2,blue
ENSG00000238228,3,brown
ENSG00000238966,2,blue
ENSG00000239636,8,pink
ENSG00000239713,8,pink
ENSG00000239827,2,blue
ENSG00000239998,2,blue
ENSG00000240065,2,blue
ENSG00000240207,3,brown
ENSG00000240291,2,blue
ENSG00000240891,8,pink
ENSG00000241014,3,brown
ENSG00000241157,3,brown
ENSG00000241163,2,blue
ENSG00000241399,3,brown
ENSG00000241721,3,brown
ENSG00000241764,3,brown
